"","Player","Country","G","WP","Score","Goals","Assists","Shots","Saves"
"1","Fireburner","us",677,0.5731,170950,564,363,1925,916
"2","GarrettG","us",665,0.5774,200185,626,346,2118,1028
"3","kuxir97","it",622,0.5884,183675,538,408,1950,962
"4","Kaydop","fr",620,0.6065,174335,483,365,1815,982
"5","Turbopolsa","se",619,0.6107,168285,486,317,1790,908
"6","Kronovi","us",612,0.5441,161150,503,345,1743,855
"7","Torment","us",586,0.6195,157915,398,361,1394,912
"8","remkoe","nl",584,0.5479,161060,444,313,1648,839
"9","Jacob","us",580,0.5431,146465,395,374,1378,746
"10","ViolentPanda","nl",571,0.6322,165210,409,374,1644,835
"11","Markydooda","gb",569,0.5518,153806,516,377,1780,719
"12","Paschy90","de",563,0.5471,143440,425,320,1471,760
"13","Rizzo","us",525,0.5276,128670,315,282,1243,756
"14","Klassux","us",481,0.4636,114875,271,233,1138,648
"15","Deevo","gb",478,0.5418,128740,283,257,1174,722
"16","Maestro","dk",471,0.5478,133095,411,252,1439,690
"17","gReazy","no",461,0.5401,127175,314,306,1288,635
"18","miztik","gb",460,0.5152,119185,278,259,1117,672
"19","Sikii","de",447,0.5213,110890,271,254,1070,704
"20","Torsos","au",441,0.6644,120559,336,269,1114,550
"21","Drippay","au",435,0.6598,128434,401,277,1356,542
"22","Snaski","dk",435,0.4782,113852,279,214,1052,687
"23","Chausette45","fr",433,0.4827,118478,261,218,1041,749
"24","al0t","se",421,0.4798,99722,286,222,1106,507
"25","JKnaps","ca",417,0.5372,124995,345,260,1259,622
"26","SquishyMuffinz","ca",413,0.6489,125705,340,289,1189,625
"27","Zanejackey","us",406,0.4606,91970,224,204,855,512
"28","Fairy Peak","fr",397,0.5264,113795,271,227,1073,638
"29","Metsanauris","fi",393,0.5344,105155,246,219,1006,603
"30","Ferra","fr",392,0.4847,98361,291,166,1172,481
"31","Gimmick","us",392,0.6378,113160,357,244,1092,535
"32","shadey","au",379,0.5594,101626,279,214,970,506
"33","Kamii","nz",375,0.4827,101063,234,229,891,510
"34","CorruptedG","ca",371,0.4394,93795,255,182,869,539
"35","Jake","au",364,0.6731,93277,277,225,951,465
"36","Express","au",352,0.5824,99715,283,221,929,505
"37","SadJunior","ca",346,0.5058,80165,234,192,862,441
"38","FreaKii","de",345,0.5536,103635,238,198,987,625
"39","Dumbo","au",343,0.5306,88189,237,194,826,425
"40","Chrome","us",340,0.4412,84330,219,180,845,501
"41","Moses","us",340,0.5059,82555,209,196,768,531
"42","Mognus","fi",337,0.4985,103660,249,186,963,627
"43","Turtle","us",336,0.5238,74865,244,205,840,377
"44","Bluey","gb",329,0.5046,94467,222,177,868,518
"45","Lethamyr","ca",317,0.4763,87100,235,157,887,494
"46","Matt","us",312,0.4359,78245,235,153,843,439
"47","Sizz","us",312,0.4327,82010,206,169,741,493
"48","EyeIgnite","gb",301,0.5249,93075,251,164,884,448
"49","Lachinio","ca",299,0.5318,73235,226,177,785,412
"50","cyrix","au",289,0.4775,66535,171,143,647,403
"51","Insolences","us",288,0.4792,75765,195,163,663,437
"52","Shakahron","gb",281,0.5267,73797,172,154,675,379
"53","Siki","au",279,0.4767,75190,212,158,830,368
"54","Nielskoek","nl",273,0.381,79975,214,142,839,405
"55","Chicago","us",270,0.5519,85510,230,170,816,405
"56","zol","ca",265,0.5585,69843,196,151,724,320
"57","Pwndx","dk",263,0.3954,69177,171,129,671,354
"58","Pluto","us",259,0.5212,57469,140,129,520,367
"59","Dappur","us",252,0.4881,64365,209,123,674,383
"60","JSTN","us",246,0.5691,80815,194,158,761,388
"61","CJCJ","au",243,0.535,70570,203,152,736,302
"62","Skyline","ch",242,0.4669,60330,136,118,580,379
"63","FlamE","gb",239,0.523,67141,172,127,605,317
"64","Rix Ronday","nl",236,0.589,65488,180,127,617,356
"65","Tylacto","gb",235,0.5191,61033,144,150,530,347
"66","ellusive","au",228,0.4693,53515,158,111,541,298
"67","Montyconnor","nz",228,0.5219,53335,135,149,503,318
"68","Borito B","nl",221,0.6199,64972,151,149,552,307
"69","MummiSnow","dk",216,0.4676,56071,147,126,572,247
"70","Plitz","au",212,0.4434,48735,147,106,501,231
"71","Sebadam","gb",210,0.4238,53194,127,86,459,322
"72","Julz","au",204,0.4853,59702,164,133,555,297
"73","Yukeo","at",199,0.5276,57160,127,99,479,319
"74","Data","se",196,0.4745,57547,134,106,514,307
"75","PrimeThunder","us",196,0.4949,58070,181,122,602,280
"76","Vince","us",195,0.4769,52355,146,127,554,241
"77","M1k3Rules","ie",194,0.6804,51225,207,167,633,218
"78","Cheerio","se",193,0.4974,49788,129,93,510,282
"79","Timi","ca",192,0.4167,46530,110,91,481,243
"80","DudeWithTheNose","ca",190,0.5474,52100,112,80,449,282
"81","JWismont","us",185,0.4973,48640,117,89,450,236
"82","Karma","us",183,0.5137,51570,120,99,461,261
"83","Wonder","us",180,0.4944,52500,131,128,500,269
"84","ZeN","au",180,0.4111,50260,131,100,483,231
"85","Kia","au",179,0.4972,43590,109,97,433,265
"86","Allushin","ca",178,0.4213,45380,106,100,416,236
"87","Espeon","us",175,0.4857,41800,133,62,478,212
"88","Sea-Bass","us",171,0.4035,46410,122,79,408,292
"89","Bango","au",166,0.4157,45970,145,78,462,259
"90","Killerno7","de",165,0.5091,41795,135,79,464,201
"91","SnarfSnarf","au",165,0.497,40380,87,104,427,184
"92","Hato","us",164,0.4695,40435,112,89,401,215
"93","Delusion","au",163,0.5031,47375,124,90,413,261
"94","Doomsee","gb",163,0.411,37995,115,70,443,219
"95","TyNotTyler","us",163,0.4049,42850,100,72,409,242
"96","DarkFire","us",162,0.5494,42605,153,102,431,235
"97","Speed","gb",162,0.5988,50792,125,113,443,223
"98","Daze","au",160,0.4563,40030,110,94,358,199
"99","Mout","fr",160,0.4938,40873,114,81,397,232
"100","SOMA","au",160,0.475,40440,124,72,404,216
"101","Tinny","gb",159,0.522,35170,83,77,334,216
"102","Halcyon","us",158,0.4367,40765,116,84,417,198
"103","Gambit","us",156,0.5256,42445,163,112,527,195
"104","Mijo","us",156,0.4872,39985,111,84,388,242
"105","Tadpole","gb",156,0.5833,44735,102,96,384,224
"106","Tigreee","de",154,0.5584,43787,122,70,426,232
"107","Ronaky","dk",153,0.5882,57709,175,89,523,264
"108","ELMP","de",152,0.4145,33435,105,81,397,208
"109","Satthew","us",152,0.5724,42076,117,92,405,194
"110","AyyJayy","us",151,0.5166,40690,114,79,411,211
"111","CJM","nz",150,0.38,38455,103,63,349,225
"112","AxB","ca",146,0.6027,44897,106,109,389,213
"113","Memory","us",145,0.4828,43690,104,71,407,281
"114","Alex161","de",144,0.4792,37789,86,81,382,184
"115","fruity","dk",142,0.507,44525,88,80,405,206
"116","aoe emp","au",139,0.5036,32155,101,70,359,150
"117","Aeon","us",136,0.4853,41465,101,71,347,196
"118","Genocop","us",136,0.4265,35520,114,71,372,205
"119","Al Dente","dk",134,0.5149,40236,74,60,341,221
"120","Friis","dk",133,0.5038,35825,85,77,329,180
"121","Zensuz","se",133,0.3383,32255,74,62,319,218
"122","Addzey","nz",130,0.4385,29195,95,58,309,146
"123","Godsmilla","de",127,0.5197,34823,78,79,328,166
"124","Vogan","nl",127,0.4331,30255,102,65,333,185
"125","Jessie","nl",126,0.4127,26620,64,72,267,170
"126","Walcott","au",125,0.416,35576,85,59,305,223
"127","Daisu","au",121,0.3719,28190,74,49,280,167
"128","Requiem","au",119,0.4034,25745,59,57,200,139
"129","Kassio","fr",116,0.6207,41267,116,71,383,164
"130","EPICJonny","ca",115,0.4348,31090,80,55,294,201
"131","Dadooh","fr",113,0.4159,25995,75,57,282,154
"132","Ralph","ca",113,0.5221,29175,70,74,253,125
"133","Quinn Lobdell","us",111,0.4595,22690,81,55,263,124
"134","Stocki","ch",109,0.5046,27005,79,64,290,148
"135","Calix","de",106,0.4057,31979,76,45,291,142
"136","Decka","au",103,0.4369,25905,64,61,229,128
"137","Jorolelin","us",103,0.4854,28895,75,45,260,152
"138","Dogu","nl",96,0.4271,21040,58,42,223,156
"139","Sniper","no",94,0.4681,21950,72,47,228,131
"140","Flarke","se",92,0.2935,20850,47,44,224,125
"141","Waffle","dk",92,0.5217,22140,55,50,188,153
"142","GroovyGrape","au",91,0.5275,21005,68,40,217,112
"143","HotWheelsSid","ca",90,0.4111,20920,75,53,253,85
"144","Oscillon","nl",90,0.3889,31227,53,51,230,182
"145","Rapid","us",90,0.4222,27165,49,50,211,142
"146","Astroh","us",86,0.4535,29265,62,51,230,152
"147","Didris","no",86,0.4884,25975,65,44,264,103
"148","eren","au",86,0.4767,18040,44,62,167,107
"149","Scrub Killa","gb",85,0.5176,27535,62,47,253,171
"150","Sypical","us",85,0.6471,29945,95,53,276,102
"151","ayjacks","us",83,0.3855,25140,69,39,197,138
"152","Frag","de",82,0.4634,19885,59,47,185,119
"153","dore52x","jp",81,0.4938,20565,53,48,211,118
"154","Nunki","jp",81,0.4938,19415,59,46,208,93
"155","Kanra","jp",79,0.7215,22210,83,65,250,79
"156","Shaolon","jp",79,0.7215,23240,90,64,256,100
"157","Vafele","us",79,0.6456,19935,81,57,231,100
"158","0ver Zer0","us",78,0.5513,18485,48,49,207,97
"159","Misty","my",78,0.4872,21405,62,65,199,123
"160","Neqzo","fr",78,0.4615,20095,40,33,171,132
"161","Pugsay","gb",78,0.5256,20674,43,36,188,102
"162","Hockser","",77,0.5325,24305,45,43,173,120
"163","Lim","au",77,0.4026,23315,53,46,179,121
"164","Sammy","au",77,0.3506,18530,36,42,176,138
"165","Shock","us",77,0.5325,24235,49,43,179,121
