"","Player","GP","Score","ScoreSqr","Goals","GoalsSqr","Assists","AssistsSqr","Saves","SavesSqr","Shots","ShotsSqr","AdjustedScore","AdjustedScoreSqr"
"JKnaps","JKnaps",9,3223,1300817,4,4,6,10,16,44,21,59,1103,176117
"Chicago","Chicago",9,3510,1541838,7,11,4,4,13,29,22,74,1220,197138
"Rizzo","Rizzo",9,2579,769471,2,2,2,2,16,32,19,49,999,140911
"Wonder","Wonder",5,1754,694982,2,2,3,3,7,17,20,94,454,61442
"Kronovi","Kronovi",5,1952,808868,5,11,0,0,7,17,15,49,802,137108
"AyyJayy","AyyJayy",5,1378,401332,1,1,3,5,5,7,14,42,598,75892
"Memory","Memory",3,903,305441,2,2,0,0,4,8,6,14,383,54921
"Lethamyr","Lethamyr",3,590,132084,0,0,1,1,2,4,4,6,360,48824
"Allushin","Allushin",3,602,127204,0,0,1,1,3,5,4,10,322,35924
"Torment","Torment",3,1258,536542,3,3,4,8,4,6,8,26,298,49842
"Gimmick","Gimmick",3,881,269105,2,4,1,1,3,5,8,24,321,38105
"SquishyMuffinz","SquishyMuffinz",3,1106,492036,3,5,2,2,4,10,6,14,186,12596
"Sypical","Sypical",3,1919,1310309,8,24,1,1,4,10,13,59,309,32969
"Satthew","Satthew",3,1212,493304,2,4,4,10,4,8,7,17,472,79424
"AxB","AxB",3,1099,402885,2,2,3,5,1,1,5,13,599,136265
"Klassux","Klassux",7,2512,1076800,3,3,4,6,12,34,13,27,1152,230200
"Drippay","Drippay",7,3122,1469674,8,12,1,1,11,27,20,70,1222,228014
"CorruptedG","CorruptedG",7,1785,557513,2,2,4,4,6,18,12,34,845,129533
"JWismont","JWismont",3,1162,472886,0,0,1,1,8,38,4,6,632,141966
"DudeWithTheNose","DudeWithTheNose",3,622,134660,0,0,0,0,4,6,10,42,222,24020
"Karma","Karma",3,728,177560,1,1,0,0,2,2,9,29,348,43280
"JSTN","JSTN",3,1678,996014,3,3,4,8,8,24,9,29,398,59174
"Fireburner","Fireburner",3,1226,522436,2,2,2,2,6,12,9,27,446,70116
"GarrettG","GarrettG",3,1304,611890,5,13,1,1,3,3,12,50,264,28790
"Deevo","Deevo",3,866,257578,0,0,0,0,7,19,6,18,396,56318
"Alpha54","Alpha54",3,667,162241,0,0,0,0,2,2,9,33,387,50741
"Bluey","Bluey",3,968,344910,0,0,0,0,7,21,4,6,538,101790
"Scrub Killa","Scrub Killa",6,2515,1187969,7,11,4,6,7,15,19,65,685,85829
"Kaydop","Kaydop",6,2869,1431363,8,18,2,2,8,18,27,159,829,143903
"Fairy Peak","Fairy Peak",6,2590,1181418,3,5,5,9,17,67,8,28,830,155998
"Turbopolsa","Turbopolsa",6,1904,679088,4,6,0,0,5,7,17,57,914,147948
"Yukeo","Yukeo",6,2126,832318,2,2,3,5,13,35,17,67,786,115218
"ViolentPanda","ViolentPanda",6,1871,626479,0,0,3,3,7,11,21,81,951,159599
"Ferra","Ferra",3,1822,1161684,5,11,4,10,4,10,10,34,522,99404
"fruity","fruity",3,1440,711656,2,4,5,9,7,19,9,35,460,76296
"Chausette45","Chausette45",3,1692,971834,5,9,0,0,8,38,8,24,532,101274
"Ronaky","Ronaky",3,1336,669478,0,0,0,0,10,38,10,36,636,154098
"Kassio","Kassio",3,722,186956,1,1,0,0,4,6,3,3,362,43876
"Tadpole","Tadpole",3,795,214473,0,0,1,1,2,2,7,17,505,87393
"EyeIgnite","EyeIgnite",3,1395,659787,3,5,0,0,6,14,12,48,355,69187
"Metsanauris","Metsanauris",3,991,346601,2,2,1,1,3,5,8,24,431,68901
"remkoe","remkoe",3,1264,584278,1,1,2,4,9,33,3,3,454,74318
"Tigreee","Tigreee",5,1875,774601,3,3,3,3,9,27,16,82,555,73081
"Alex161","Alex161",5,2099,956369,3,5,4,6,9,23,16,56,829,157429
"al0t","al0t",5,2182,975128,5,7,3,5,9,25,14,74,702,111808
"miztik","miztik",5,2363,1143831,1,1,6,12,15,49,15,55,913,168531
"kuxir97","kuxir97",5,2283,1124047,9,21,2,2,6,10,18,78,523,57807
"Speed","Speed",5,2550,1510806,6,20,6,14,9,21,14,68,720,152806
